state_ut,children_under_5_years_who_are_stunted_(height-for-age)18_(%),children_under_5_years_who_are_underweight_(weight-for-age)18_(%),children_under_5_years_who_are_wasted_(weight-for-height)18_(%),children_age_6-59_months_who_are_anaemic_(<11.0_g/dl)22_(%),men_age_15_years_and_above_who_use_any_kind_of_tobacco_(%),women_age_15_years_and_above_who_use_any_kind_of_tobacco_(%),men_age_15_years_and_above_who_consume_alcohol_(%),population_living_in_households_that_use_an_improved_sanitation_facility2_(%),households_using_clean_fuel_for_cooking3_(%),source_dataset
Puducherry,28.8975,21.0225,11.6475,52.06,14.12,2.2575000000000003,25.4275,88.17,91.4075,nfhs
Punjab,25.388181818181817,17.657727272727275,10.803181818181818,69.69636363636363,13.336363636363636,0.3613636363636364,23.65909090909091,86.49681818181818,74.72272727272728,nfhs
Rajasthan,31.734848484848484,28.39636363636364,18.03757575757576,72.19909090909091,43.22575757575758,7.376969696969697,11.453939393939397,68.57242424242423,38.30181818181818,nfhs
Sikkim,24.8725,13.6725,11.9575,56.69,41.3725,11.4275,42.1025,87.3675,72.4625,nfhs
Tamil Nadu,25.3128125,22.245625,14.8434375,57.436875,20.825,5.3528125,26.0003125,71.571875,79.495625,nfhs
Telangana,33.16548387096775,32.76387096774194,22.126129032258063,70.19225806451612,24.063870967741934,6.311290322580645,45.49870967741936,74.61806451612902,90.3648387096774,nfhs
Tripura,32.975,26.1625,18.9075,65.855,57.80125,51.23125,33.01,71.60875,40.705,nfhs
Uttar Pradesh,39.6256,32.3128,17.687466666666666,66.39479999999999,45.2372,8.690933333333334,14.3244,68.976,47.071866666666665,nfhs
Uttarakhand,27.27846153846154,19.166153846153847,12.460769230769232,56.47384615384616,37.49846153846154,4.4569230769230765,30.81615384615385,82.2976923076923,48.47,nfhs
West Bengal,33.175,32.695,21.33,69.777,48.117,12.105,18.6885,67.1225,39.291,nfhs
