state,pn_ratio,in_ratio,symptomatic_no_care_pct,poverty_pct,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,pn_ratio_weighted_influence,poverty_pct_weighted_influence,composite_risk_score,priority_rank
Uttarakhand,0.0003094843475011,1.0299575821845175,17.7023076923077,51.53,-0.0471728714874587,0.3358971188545921,1.0805889401038755,-0.7699945842663766,-0.7300487167725094,-0.3955460800929822,0.3735638118336565,0.1024128243565248,0,8.333333333333332,20.76981610143131,14
Gujarat,0.0004139845477606,1.0373094579856443,28.27,40.15787878787879,-0.373754972985294,0.2580921253208564,1.0126038559951829,0.0568211330733404,0.299451211755351,-0.2050895828548482,-0.0354673622701229,0.4686375321454757,0,8.333333333333332,20.52852923018274,15
Himachal Pradesh,0.0004013497730455,1.052175795626759,19.1075,46.35333333333333,1.1071239015897298,1.2852082137515706,1.285043974940942,-1.676697582242402,-0.042392944994394,0.0998216596724414,0.0758614199871773,-0.0153888628330204,0,8.333333333333332,19.638410539909216,16
Arunachal Pradesh,0.0004953848690357,1.0287229341581972,15.46950000000001,47.719,-0.5840196830699168,-0.8570977557809655,-1.2308658137266806,-0.6103239675608361,-0.8710308667909714,0.2504313074748671,-0.6422970302594296,-1.0357084662399323,0,8.333333333333332,18.95674815394762,17
Jammu And Kashmir,0.00077308099021,1.0238149585330594,26.2385,36.718,-1.011628052070062,-0.054631041161893,0.3788404073642049,0.3200600167732819,-0.7187615875304991,0.6120705369493895,-0.5832465698652981,-0.4462060847976365,0,8.333333333333332,18.887259232396083,18
Haryana,0.0002538565772847,1.030961091610224,14.969090909090909,42.17181818181818,-0.0911301231782765,-0.429745471972852,0.492304613741567,-0.0561087857815192,-0.5122265526250342,-0.8503896624363106,-0.1032125086523682,0.1092488897664082,0,8.333333333333332,17.14237426990364,19
Karnataka,0.0007422941524764,1.0556521999940014,25.404,23.919333333333327,0.6497242856339032,0.4729569469519598,0.5259644864002517,0.2557358468020277,0.7963176591664379,0.0612333628657333,-0.8886737402447494,-0.0526522502465236,0,8.333333333333332,14.797296917660988,20
Tamil Nadu,0.0007002270861468,1.0492602575621444,28.428124999999994,20.504375,0.8959639776596519,0.4516282612338318,1.0974903951666564,0.0946817428818525,0.7058315397373486,0.4547435683364642,-0.4564611163939081,0.3679314385822119,0,8.333333333333332,14.680030090834457,21
andaman & nicobar islands,0.000528877905627,1.0222984562607205,13.613333333333344,29.96666666666667,1.6311505475426908,-0.7443701878806978,0.0350494575228499,-1.283068916619973,-1.1479233471123385,1.1722188546670198,0.5066429627676208,0.2152568065524777,0,8.333333333333332,13.074211551162254,22
Lakshadweep,0.0034822784562085,1.0666666666666669,0.2000000000000028,40.57,3.257578100543034,4.14310758461129,-0.761506458997738,2.2989648862760115,-0.8708257388967056,0.1880666023117921,0.6622422374294812,-0.2529148434197331,0,8.333333333333332,12.232392911382483,23
