"a-1_number_of_villages,_towns,_households,_population_and_area",unnamed:_1,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,unnamed:_10,unnamed:_11,unnamed:_12,unnamed:_13,unnamed:_14,source_dataset
State  Code,District Code,Sub District Code,India/ State/ Union Territory/ District/ Sub-district,Name,"Total/
Rural/
Urban",Number of villages,,Number of towns,Number of households,Population,,,"Area
 (In sq. km)",Population per sq. km.,census
,,,,,,Inhabited,Uninhabited,,,Persons,Males,Females,,,census
01,002,00009,SUB-DISTRICT,Charar- E- Shrief,Total,16,1,1,7054,53416,28369,25047,58.85,908,census
01,002,00009,SUB-DISTRICT,Charar- E- Shrief,Rural,16,1,0,4956,41883,22465,19418,58.05,721,census
01,002,00009,SUB-DISTRICT,Charar- E- Shrief,Urban,0,0,1,2098,11533,5904,5629,0.8,14416,census
01,003,00000,DISTRICT,Leh(Ladakh),Total,111,1,3,21909,133487,78971,54516,45110,3,census
01,003,00000,DISTRICT,Leh(Ladakh),Rural,111,1,0,14905,87816,48411,39405,45085.99,2,census
01,003,00000,DISTRICT,Leh(Ladakh),Urban,0,0,3,7004,45671,30560,15111,24.01,1902,census
01,003,00010,SUB-DISTRICT,Leh,Total,60,1,3,15497,93961,56597,37364,171.06,549,census
01,003,00010,SUB-DISTRICT,Leh,Rural,60,1,0,8493,48290,26037,22253,147.05,328,census
01,003,00010,SUB-DISTRICT,Leh,Urban,0,0,3,7004,45671,30560,15111,24.01,1902,census
01,003,00011,SUB-DISTRICT,Nubra,Total,28,0,0,3606,22433,13740,8693,166.82,134,census
01,003,00011,SUB-DISTRICT,Nubra,Rural,28,0,0,3606,22433,13740,8693,166.82,134,census
01,003,00011,SUB-DISTRICT,Nubra,Urban,0,0,0,0,0,0,0,0,0,census
01,003,00012,SUB-DISTRICT,Khalsi,Total,23,0,0,2806,17093,8634,8459,56.01,305,census
01,003,00012,SUB-DISTRICT,Khalsi,Rural,23,0,0,2806,17093,8634,8459,56.01,305,census
01,003,00012,SUB-DISTRICT,Khalsi,Urban,0,0,0,0,0,0,0,0,0,census
01,004,00000,DISTRICT,Kargil,Total,125,2,1,18338,140802,77785,63017,14036,10,census
01,004,00000,DISTRICT,Kargil,Rural,125,2,0,16147,124464,67703,56761,14033.86,9,census
01,004,00000,DISTRICT,Kargil,Urban,0,0,1,2191,16338,10082,6256,2.14,7635,census
01,004,00013,SUB-DISTRICT,Kargil,Total,64,2,1,10867,86461,49431,37030,84.16,1027,census
01,004,00013,SUB-DISTRICT,Kargil,Rural,64,2,0,8676,70123,39349,30774,82.02,855,census
01,004,00013,SUB-DISTRICT,Kargil,Urban,0,0,1,2191,16338,10082,6256,2.14,7635,census
01,004,00014,SUB-DISTRICT,Sanku,Total,36,0,0,5144,40548,21346,19202,60.49,670,census
01,004,00014,SUB-DISTRICT,Sanku,Rural,36,0,0,5144,40548,21346,19202,60.49,670,census
01,004,00014,SUB-DISTRICT,Sanku,Urban,0,0,0,0,0,0,0,0,0,census
01,004,00015,SUB-DISTRICT,Zanskar,Total,25,0,0,2327,13793,7008,6785,43.11,320,census
01,004,00015,SUB-DISTRICT,Zanskar,Rural,25,0,0,2327,13793,7008,6785,43.11,320,census
01,004,00015,SUB-DISTRICT,Zanskar,Urban,0,0,0,0,0,0,0,0,0,census
01,005,00000,DISTRICT,Punch,Total,170,8,3,90261,476835,251899,224936,1674,285,census
01,005,00000,DISTRICT,Punch,Rural,170,8,0,83045,438205,229774,208431,1649.92,266,census
01,005,00000,DISTRICT,Punch,Urban,0,0,3,7216,38630,22125,16505,24.08,1604,census
01,005,00016,SUB-DISTRICT,Haveli,Total,49,2,1,25558,132767,71538,61229,278.42,477,census
01,005,00016,SUB-DISTRICT,Haveli,Rural,49,2,0,20615,105913,55475,50438,268.06,395,census
01,005,00016,SUB-DISTRICT,Haveli,Urban,0,0,1,4943,26854,16063,10791,10.36,2592,census
01,005,00017,SUB-DISTRICT,Mandi,Total,37,0,0,16313,77947,41365,36582,196.28,397,census
01,005,00017,SUB-DISTRICT,Mandi,Rural,37,0,0,16313,77947,41365,36582,196.28,397,census
01,005,00017,SUB-DISTRICT,Mandi,Urban,0,0,0,0,0,0,0,0,0,census
01,005,00018,SUB-DISTRICT,Mendhar,Total,51,5,1,25334,141366,73297,68069,424.69,333,census
01,005,00018,SUB-DISTRICT,Mendhar,Rural,51,5,0,24428,136333,70776,65557,415.84,328,census
01,005,00018,SUB-DISTRICT,Mendhar,Urban,0,0,1,906,5033,2521,2512,8.85,569,census
01,005,00019,SUB-DISTRICT,Surankote,Total,33,1,1,23056,124755,65699,59056,250.23,499,census
01,005,00019,SUB-DISTRICT,Surankote,Rural,33,1,0,21689,118012,62158,55854,245.36,481,census
01,005,00019,SUB-DISTRICT,Surankote,Urban,0,0,1,1367,6743,3541,3202,4.87,1385,census
01,006,00000,DISTRICT,Rajouri,Total,375,10,4,130401,642415,345351,297064,2630,244,census
01,006,00000,DISTRICT,Rajouri,Rural,375,10,0,122645,590101,310748,279353,2608.11,226,census
01,006,00000,DISTRICT,Rajouri,Urban,0,0,4,7756,52314,34603,17711,21.89,2390,census
01,006,00020,SUB-DISTRICT,Thanamandi,Total,32,0,1,13644,67773,35472,32301,148.69,456,census
01,006,00020,SUB-DISTRICT,Thanamandi,Rural,32,0,0,12673,62283,32373,29910,144.51,431,census
01,006,00020,SUB-DISTRICT,Thanamandi,Urban,0,0,1,971,5490,3099,2391,4.18,1313,census
01,006,00021,SUB-DISTRICT,Darhal,Total,11,1,0,7612,36227,19121,17106,80.3,451,census
01,006,00021,SUB-DISTRICT,Darhal,Rural,11,1,0,7612,36227,19121,17106,80.3,451,census
01,006,00021,SUB-DISTRICT,Darhal,Urban,0,0,0,0,0,0,0,0,0,census
01,006,00022,SUB-DISTRICT,Rajauri,Total,118,3,1,36640,189067,103307,85760,593.49,319,census
01,006,00022,SUB-DISTRICT,Rajauri,Rural,118,3,0,32276,159581,84130,75451,580.6,275,census
01,006,00022,SUB-DISTRICT,Rajauri,Urban,0,0,1,4364,29486,19177,10309,12.89,2288,census
01,006,00023,SUB-DISTRICT,Budhal,Total,51,1,0,23676,123050,64990,58060,468.25,263,census
01,006,00023,SUB-DISTRICT,Budhal,Rural,51,1,0,23676,123050,64990,58060,468.25,263,census
01,006,00023,SUB-DISTRICT,Budhal,Urban,0,0,0,0,0,0,0,0,0,census
01,006,00024,SUB-DISTRICT,Kalakote,Total,68,1,0,16243,72667,37864,34803,412.96,176,census
01,006,00024,SUB-DISTRICT,Kalakote,Rural,68,1,0,16243,72667,37864,34803,412.96,176,census
01,006,00024,SUB-DISTRICT,Kalakote,Urban,0,0,0,0,0,0,0,0,0,census
01,006,00025,SUB-DISTRICT,Nowshehra,Total,52,4,1,18323,89416,50146,39270,482.03,185,census
01,006,00025,SUB-DISTRICT,Nowshehra,Rural,52,4,0,17040,79008,42417,36591,477.4,165,census
01,006,00025,SUB-DISTRICT,Nowshehra,Urban,0,0,1,1283,10408,7729,2679,4.63,2248,census
01,006,00026,SUB-DISTRICT,Sunderbani,Total,43,0,1,14263,64215,34451,29764,333.43,193,census
01,006,00026,SUB-DISTRICT,Sunderbani,Rural,43,0,0,13125,57285,29853,27432,333.24,172,census
01,006,00026,SUB-DISTRICT,Sunderbani,Urban,0,0,1,1138,6930,4598,2332,0.19,36474,census
01,007,00000,DISTRICT,Kathua,Total,496,16,6,119583,616435,326109,290326,2502,246,census
01,007,00000,DISTRICT,Kathua,Rural,496,16,0,101651,526722,278126,248596,2458.84,214,census
01,007,00000,DISTRICT,Kathua,Urban,0,0,6,17932,89713,47983,41730,43.16,2079,census
01,007,00027,SUB-DISTRICT,Billawar,Total,65,1,1,28687,150882,79699,71183,675.12,223,census
01,007,00027,SUB-DISTRICT,Billawar,Rural,65,1,0,27785,145904,77072,68832,668.77,218,census
01,007,00027,SUB-DISTRICT,Billawar,Urban,0,0,1,902,4978,2627,2351,6.35,784,census
01,007,00028,SUB-DISTRICT,Bashohli,Total,38,1,1,13312,70810,37177,33633,344.24,206,census
01,007,00028,SUB-DISTRICT,Bashohli,Rural,38,1,0,12206,65377,34351,31026,341.63,191,census
01,007,00028,SUB-DISTRICT,Bashohli,Urban,0,0,1,1106,5433,2826,2607,2.61,2082,census
01,007,00029,SUB-DISTRICT,Bani,Total,33,0,0,8096,45996,23889,22107,468.12,98,census
01,007,00029,SUB-DISTRICT,Bani,Rural,33,0,0,8096,45996,23889,22107,468.12,98,census
01,007,00029,SUB-DISTRICT,Bani,Urban,0,0,0,0,0,0,0,0,0,census
01,007,00030,SUB-DISTRICT,Kathua,Total,163,8,3,41206,210949,112702,98247,563.89,374,census
01,007,00030,SUB-DISTRICT,Kathua,Rural,163,8,0,27005,139941,74698,65243,533.69,262,census
01,007,00030,SUB-DISTRICT,Kathua,Urban,0,0,3,14201,71008,38004,33004,30.2,2351,census
01,007,00031,SUB-DISTRICT,Hiranagar,Total,197,6,1,28282,137798,72642,65156,388.92,354,census
01,007,00031,SUB-DISTRICT,Hiranagar,Rural,197,6,0,26559,129504,68116,61388,384.92,336,census
01,007,00031,SUB-DISTRICT,Hiranagar,Urban,0,0,1,1723,8294,4526,3768,4,2074,census
01,008,00000,DISTRICT,Baramula,Total,509,9,7,152635,1008039,534733,473306,4243,238,census
01,008,00000,DISTRICT,Baramula,Rural,509,9,0,125346,825539,432399,393140,4179.44,198,census
01,008,00000,DISTRICT,Baramula,Urban,0,0,7,27289,182500,102334,80166,63.56,2871,census
01,008,00032,SUB-DISTRICT,Sopore,Total,57,1,1,33709,219913,113426,106487,170.09,1293,census
01,008,00032,SUB-DISTRICT,Sopore,Rural,57,1,0,22517,148621,75856,72765,151.19,983,census
01,008,00032,SUB-DISTRICT,Sopore,Urban,0,0,1,11192,71292,37570,33722,18.9,3772,census
01,008,00033,SUB-DISTRICT,Rafiabad,Total,77,0,1,14178,92639,47728,44911,113.34,817,census
01,008,00033,SUB-DISTRICT,Rafiabad,Rural,77,0,0,13246,85624,43789,41835,107.34,798,census
01,008,00033,SUB-DISTRICT,Rafiabad,Urban,0,0,1,932,7015,3939,3076,6,1169,census
01,008,00034,SUB-DISTRICT,Pattan,Total,94,1,1,28428,229155,123266,105889,181.34,1264,census
01,008,00034,SUB-DISTRICT,Pattan,Rural,94,1,0,26341,209617,110686,98931,181.06,1158,census
01,008,00034,SUB-DISTRICT,Pattan,Urban,0,0,1,2087,19538,12580,6958,0.28,69779,census
01,008,00035,SUB-DISTRICT,Baramulla,Total,42,0,1,24196,149649,79675,69974,122.36,1223,census
01,008,00035,SUB-DISTRICT,Baramulla,Rural,42,0,0,12471,78215,40998,37217,98.38,795,census
01,008,00035,SUB-DISTRICT,Baramulla,Urban,0,0,1,11725,71434,38677,32757,23.98,2979,census
01,008,00036,SUB-DISTRICT,Kreeri,Total,50,0,0,11402,66954,34447,32507,84.19,795,census
01,008,00036,SUB-DISTRICT,Kreeri,Rural,50,0,0,11402,66954,34447,32507,84.19,795,census
01,008,00036,SUB-DISTRICT,Kreeri,Urban,0,0,0,0,0,0,0,0,0,census
01,008,00037,SUB-DISTRICT,Uri,Total,41,7,1,12109,74867,41827,33040,160.05,468,census
01,008,00037,SUB-DISTRICT,Uri,Rural,41,7,0,11139,65501,35153,30348,155.15,422,census
01,008,00037,SUB-DISTRICT,Uri,Urban,0,0,1,970,9366,6674,2692,4.9,1911,census
01,008,00038,SUB-DISTRICT,Boniyar,Total,52,0,0,11912,72564,39566,32998,95.59,759,census
01,008,00038,SUB-DISTRICT,Boniyar,Rural,52,0,0,11912,72564,39566,32998,95.59,759,census
01,008,00038,SUB-DISTRICT,Boniyar,Urban,0,0,0,0,0,0,0,0,0,census
01,008,00039,SUB-DISTRICT,Tangmarg ,Total,96,0,2,16701,102298,54798,47500,111.43,918,census
01,008,00039,SUB-DISTRICT,Tangmarg ,Rural,96,0,0,16318,98443,51904,46539,101.93,966,census
01,008,00039,SUB-DISTRICT,Tangmarg ,Urban,0,0,2,383,3855,2894,961,9.5,406,census
01,009,00000,DISTRICT,Bandipore,Total,119,3,3,58392,392232,207680,184552,345,1137,census
01,009,00000,DISTRICT,Bandipore,Rural,119,3,0,48794,326871,172263,154608,295.37,1107,census
01,009,00000,DISTRICT,Bandipore,Urban,0,0,3,9598,65361,35417,29944,49.63,1317,census
01,009,00040,SUB-DISTRICT,Gurez,Total,28,0,0,5026,37992,22978,15014,44.66,851,census
01,009,00040,SUB-DISTRICT,Gurez,Rural,28,0,0,5026,37992,22978,15014,44.66,851,census
01,009,00040,SUB-DISTRICT,Gurez,Urban,0,0,0,0,0,0,0,0,0,census
01,009,00041,SUB-DISTRICT,Bandipora,Total,41,1,1,28360,177738,93034,84704,116.21,1529,census
01,009,00041,SUB-DISTRICT,Bandipora,Rural,41,1,0,22776,140657,72858,67799,102.81,1368,census
01,009,00041,SUB-DISTRICT,Bandipora,Urban,0,0,1,5584,37081,20176,16905,13.4,2767,census
01,009,00042,SUB-DISTRICT,Sonawari,Total,50,2,2,25006,176502,91668,84834,184,959,census
01,009,00042,SUB-DISTRICT,Sonawari,Rural,50,2,0,20992,148222,76427,71795,147.77,1003,census
01,009,00042,SUB-DISTRICT,Sonawari,Urban,0,0,2,4014,28280,15241,13039,36.23,781,census
01,010,00000,DISTRICT,Srinagar,Total,11,0,5,191678,1236829,651124,585705,1979,625,census
01,010,00000,DISTRICT,Srinagar,Rural,11,0,0,2844,17313,8916,8397,1684.47,10,census
01,010,00000,DISTRICT,Srinagar,Urban,0,0,5,188834,1219516,642208,577308,294.53,4141,census
01,010,00043,SUB-DISTRICT,Srinagar (North),Total,8,0,3,188079,1216358,640847,575511,298.07,4081,census
01,010,00043,SUB-DISTRICT,Srinagar (North),Rural,8,0,0,1710,10910,5725,5185,11.59,941,census
01,010,00043,SUB-DISTRICT,Srinagar (North),Urban,0,0,3,186369,1205448,635122,570326,286.48,4208,census
01,010,00044,SUB-DISTRICT,Srinagar (South),Total,3,0,2,3599,20471,10277,10194,12.42,1648,census
01,010,00044,SUB-DISTRICT,Srinagar (South),Rural,3,0,0,1134,6403,3191,3212,4.37,1465,census
01,010,00044,SUB-DISTRICT,Srinagar (South),Urban,0,0,2,2465,14068,7086,6982,8.05,1748,census
01,011,00000,DISTRICT,Ganderbal,Total,113,2,3,45361,297446,158720,138726,259,1148,census
01,011,00000,DISTRICT,Ganderbal,Rural,113,2,0,38395,250407,133715,116692,233.6,1072,census
01,011,00000,DISTRICT,Ganderbal,Urban,0,0,3,6966,47039,25005,22034,25.4,1852,census
01,011,00045,SUB-DISTRICT,Lar,Total,42,0,1,13620,90694,48857,41837,82.92,1094,census
01,011,00045,SUB-DISTRICT,Lar,Rural,42,0,0,12072,80223,43281,36942,73.38,1093,census
01,011,00045,SUB-DISTRICT,Lar,Urban,0,0,1,1548,10471,5576,4895,9.54,1098,census
01,011,00046,SUB-DISTRICT,Kangan,Total,42,0,0,18326,120934,64723,56211,90.44,1337,census
01,011,00046,SUB-DISTRICT,Kangan,Rural,42,0,0,18326,120934,64723,56211,90.44,1337,census
01,011,00046,SUB-DISTRICT,Kangan,Urban,0,0,0,0,0,0,0,0,0,census
01,011,00047,SUB-DISTRICT,Ganderbal,Total,29,2,2,13415,85818,45140,40678,85.96,998,census
01,011,00047,SUB-DISTRICT,Ganderbal,Rural,29,2,0,7997,49250,25711,23539,70.1,703,census
01,011,00047,SUB-DISTRICT,Ganderbal,Urban,0,0,2,5418,36568,19429,17139,15.86,2306,census
01,012,00000,DISTRICT,Pulwama,Total,319,10,5,86241,560440,293064,267376,1086,516,census
01,012,00000,DISTRICT,Pulwama,Rural,319,10,0,75587,479978,248096,231882,1047.45,458,census
01,012,00000,DISTRICT,Pulwama,Urban,0,0,5,10654,80462,44968,35494,38.55,2087,census
01,012,00048,SUB-DISTRICT,Pampore,Total,23,3,2,12350,81564,42227,39337,112.41,726,census
01,012,00048,SUB-DISTRICT,Pampore,Rural,23,3,0,7618,50033,26255,23778,82.46,607,census
01,012,00048,SUB-DISTRICT,Pampore,Urban,0,0,2,4732,31531,15972,15559,29.95,1053,census
01,012,00049,SUB-DISTRICT,Awantipora,Total,43,3,1,12091,86507,47151,39356,116.92,740,census
01,012,00049,SUB-DISTRICT,Awantipora,Rural,43,3,0,11008,73860,38169,35691,111.92,660,census
01,012,00049,SUB-DISTRICT,Awantipora,Urban,0,0,1,1083,12647,8982,3665,5,2529,census
01,012,00050,SUB-DISTRICT,Tral,Total,66,0,1,18659,110196,57536,52660,117.87,935,census
01,012,00050,SUB-DISTRICT,Tral,Rural,66,0,0,16303,92352,47592,44760,117.27,788,census
01,012,00050,SUB-DISTRICT,Tral,Urban,0,0,1,2356,17844,9944,7900,0.6,29740,census
01,012,00051,SUB-DISTRICT,Pulwama,Total,187,4,1,43141,282173,146150,136023,288.68,977,census
01,012,00051,SUB-DISTRICT,Pulwama,Rural,187,4,0,40658,263733,136080,127653,285.68,923,census
01,012,00051,SUB-DISTRICT,Pulwama,Urban,0,0,1,2483,18440,10070,8370,3,6147,census
01,013,00000,DISTRICT,Shupiyan,Total,226,3,1,44411,266215,136480,129735,312,853,census
01,013,00000,DISTRICT,Shupiyan,Rural,226,3,0,41858,249855,127161,122694,306.56,815,census
01,013,00000,DISTRICT,Shupiyan,Urban,0,0,1,2553,16360,9319,7041,5.44,3007,census
01,013,00052,SUB-DISTRICT,Shopian,Total,226,3,1,44411,266215,136480,129735,311.73,854,census
01,013,00052,SUB-DISTRICT,Shopian,Rural,226,3,0,41858,249855,127161,122694,306.29,816,census
01,013,00052,SUB-DISTRICT,Shopian,Urban,0,0,1,2553,16360,9319,7041,5.44,3007,census
01,014,00000,DISTRICT,Anantnag,Total,335,7,12,153640,1078692,559767,518925,3574,302,census
01,014,00000,DISTRICT,Anantnag,Rural,335,7,0,117648,795805,411012,384793,3475.76,229,census
01,014,00000,DISTRICT,Anantnag,Urban,0,0,12,35992,282887,148755,134132,98.24,2880,census
01,014,00053,SUB-DISTRICT,Pahalgam,Total,65,1,2,19277,119884,62190,57694,125.22,957,census
01,014,00053,SUB-DISTRICT,Pahalgam,Rural,65,1,0,17300,104101,53290,50811,103.2,1009,census
01,014,00053,SUB-DISTRICT,Pahalgam,Urban,0,0,2,1977,15783,8900,6883,22.02,717,census
01,014,00054,SUB-DISTRICT,Bijbehara,Total,51,1,2,20450,146801,74275,72526,142.1,1033,census
01,014,00054,SUB-DISTRICT,Bijbehara,Rural,51,1,0,15770,112197,56259,55938,131.09,856,census
01,014,00054,SUB-DISTRICT,Bijbehara,Urban,0,0,2,4680,34604,18016,16588,11.01,3143,census
01,014,00055,SUB-DISTRICT,Anantnag,Total,82,4,4,48726,364763,187703,177060,188.83,1932,census
01,014,00055,SUB-DISTRICT,Anantnag,Rural,82,4,0,25995,179530,91832,87698,143.12,1254,census
01,014,00055,SUB-DISTRICT,Anantnag,Urban,0,0,4,22731,185233,95871,89362,45.71,4052,census
01,014,00056,SUB-DISTRICT,Shangus,Total,25,0,1,12400,74103,39062,35041,59.09,1254,census
01,014,00056,SUB-DISTRICT,Shangus,Rural,25,0,0,11192,66228,34917,31311,57.09,1160,census
01,014,00056,SUB-DISTRICT,Shangus,Urban,0,0,1,1208,7875,4145,3730,2,3938,census
01,014,00057,SUB-DISTRICT,Kokernag,Total,51,0,1,27343,173712,91173,82539,126.01,1379,census
01,014,00057,SUB-DISTRICT,Kokernag,Rural,51,0,0,26443,167159,87355,79804,123.01,1359,census
01,014,00057,SUB-DISTRICT,Kokernag,Urban,0,0,1,900,6553,3818,2735,3,2184,census
01,014,00058,SUB-DISTRICT,Dooru,Total,61,1,2,25444,199429,105364,94065,130.69,1526,census
01,014,00058,SUB-DISTRICT,Dooru,Rural,61,1,0,20948,166590,87359,79231,116.19,1434,census
01,014,00058,SUB-DISTRICT,Dooru,Urban,0,0,2,4496,32839,18005,14834,14.5,2265,census
01,015,00000,DISTRICT,Kulgam,Total,226,5,7,73728,424483,217620,206863,410,1035,census
01,015,00000,DISTRICT,Kulgam,Rural,226,5,0,59922,343870,175574,168296,360.2,955,census
01,015,00000,DISTRICT,Kulgam,Urban,0,0,7,13806,80613,42046,38567,49.8,1619,census
01,015,00059,SUB-DISTRICT,Kulgam,Total,161,2,6,49700,285773,145794,139979,265.36,1077,census
01,015,00059,SUB-DISTRICT,Kulgam,Rural,161,2,0,37288,214925,109277,105648,215.99,995,census
01,015,00059,SUB-DISTRICT,Kulgam,Urban,0,0,6,12412,70848,36517,34331,49.37,1435,census
01,015,00060,SUB-DISTRICT, Devsar,Total,15,1,1,4924,31893,16873,15020,20.37,1566,census
01,015,00060,SUB-DISTRICT, Devsar,Rural,15,1,0,3530,22128,11344,10784,19.94,1110,census
01,015,00060,SUB-DISTRICT, Devsar,Urban,0,0,1,1394,9765,5529,4236,0.43,22709,census
01,015,00061,SUB-DISTRICT,Damhal Hanjipora,Total,50,2,0,19104,106817,54953,51864,124.64,857,census
01,015,00061,SUB-DISTRICT,Damhal Hanjipora,Rural,50,2,0,19104,106817,54953,51864,124.64,857,census
01,015,00061,SUB-DISTRICT,Damhal Hanjipora,Urban,0,0,0,0,0,0,0,0,0,census
01,016,00000,DISTRICT,Doda,Total,402,4,2,79636,409936,213641,196295,8912,46,census
01,016,00000,DISTRICT,Doda,Rural,402,4,0,72917,377247,195430,181817,8892.25,42,census
01,016,00000,DISTRICT,Doda,Urban,0,0,2,6719,32689,18211,14478,19.75,1655,census
01,016,00062,SUB-DISTRICT,Doda,Total,126,1,1,41297,202716,106209,96507,1023.61,198,census
01,016,00062,SUB-DISTRICT,Doda,Rural,126,1,0,36700,181111,93703,87408,1009.36,179,census
01,016,00062,SUB-DISTRICT,Doda,Urban,0,0,1,4597,21605,12506,9099,14.25,1516,census
01,016,00063,SUB-DISTRICT,Thathri,Total,92,1,0,11129,59955,31627,28328,123.54,485,census
01,016,00063,SUB-DISTRICT,Thathri,Rural,92,1,0,11129,59955,31627,28328,123.54,485,census
01,016,00063,SUB-DISTRICT,Thathri,Urban,0,0,0,0,0,0,0,0,0,census
01,016,00064,SUB-DISTRICT,Gandoh,Total,66,1,0,13216,71889,36754,35135,105.08,684,census
01,016,00064,SUB-DISTRICT,Gandoh,Rural,66,1,0,13216,71889,36754,35135,105.08,684,census
01,016,00064,SUB-DISTRICT,Gandoh,Urban,0,0,0,0,0,0,0,0,0,census
01,016,00065,SUB-DISTRICT,Bhaderwah,Total,118,1,1,13994,75376,39051,36325,112.17,672,census
01,016,00065,SUB-DISTRICT,Bhaderwah,Rural,118,1,0,11872,64292,33346,30946,106.67,603,census
01,016,00065,SUB-DISTRICT,Bhaderwah,Urban,0,0,1,2122,11084,5705,5379,5.5,2015,census
01,017,00000,DISTRICT,Ramban,Total,127,2,3,55490,283713,149132,134581,1329,213,census
01,017,00000,DISTRICT,Ramban,Rural,127,2,0,53328,271902,142317,129585,1313.92,207,census
01,017,00000,DISTRICT,Ramban,Urban,0,0,3,2162,11811,6815,4996,15.08,783,census
01,017,00066,SUB-DISTRICT,Banihal,Total,33,1,1,25018,125045,64992,60053,563.08,222,census
01,017,00066,SUB-DISTRICT,Banihal,Rural,33,1,0,24373,121145,62539,58606,559.01,217,census
