stateut,2020,2021,2022,2023,source_file,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2023_januarydecember__0_to_14_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2023_januarydecember__15_years_to_30_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2023_januarydecember__31_years_to_45_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2023_januarydecember__46_years_to_60_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2023_januarydecember___60_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2024_januaryoctober__0_to_14_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2024_januaryoctober__15_years_to_30_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2024_januaryoctober__31_years_to_45_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2024_januaryoctober__46_years_to_60_years,percentage_of_tb_cases_out_of_the_total_tb_cases_notified_in_2024_januaryoctober___60_years,source_file_rs_rs_session_266_au_1736_a_to_c_3_(1)_clean.csv,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2023_januarydecember__0_to_14_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2023_januarydecember__15_years_to_30_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2023_januarydecember__31_years_to_45_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2023_januarydecember__46_years_to_60_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2023_januarydecember__60_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2024_januaryoctober__0_to_14_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2024_januaryoctober__15_years_to_30_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2024_januaryoctober__31_years_to_45_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2024_januaryoctober__46_years_to_60_years,percentage_of_tb_deaths_of_total_tb_cases_reported_in_2024_januaryoctober__60_years,source_file_rs_rs_session_266_au_1736_a_to_c_4_clean.csv,tb_cases_notification_in_2024_january_to_october,tb_deaths__2024_january_to_october,source_file_rs_rs_session_266_au_2511_1_clean.csv,2023__tb_patients_notified,2023__treated_successfully,2024__tb_patients_notified,source_file_rs_rs_session_267_au_3467_1_clean.csv,source_dataset
Madhya Pradesh,137648,166346,186293,72591,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,7,30,27,21,15,7,30,27,21,15,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,1.2,1.7,3.0,5.1,8.0,1.2,1.6,3.0,4.8,7.7,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,149093,5152,rs_RS_Session_266_AU_2511_1_clean.csv,178884,156839,177525,rs_RS_Session_267_AU_3467_1_clean.csv,india_tb_reports
Maharashtra,159663,199976,234105,90215,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,5,31,27,20,17,5,31,26,20,18,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,1.4,1.4,3.4,5.9,8.9,1.6,1.2,2.8,4.7,8.1,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,186706,6069,rs_RS_Session_266_AU_2511_1_clean.csv,205909,182758,214670,rs_RS_Session_267_AU_3467_1_clean.csv,india_tb_reports
Manipur,1563,1793,2554,900,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,3,17,21,25,34,3,19,20,24,34,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,1.3,1.1,2.4,3.8,5.7,1.7,1.1,2.2,1.9,6.0,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,2067,67,rs_RS_Session_266_AU_2511_1_clean.csv,2522,1813,2561,rs_RS_Session_267_AU_3467_1_clean.csv,india_tb_reports
Meghalaya,4139,4152,4989,2057,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,6,35,30,18,11,7,34,31,19,9,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,2.9,1.8,4.3,7.7,9.6,2.5,1.7,3.7,8.3,12.6,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,3890,180,rs_RS_Session_266_AU_2511_1_clean.csv,4493,3840,4318,rs_RS_Session_267_AU_3467_1_clean.csv,india_tb_reports
Mizoram,2334,1749,2085,981,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,8,31,32,16,13,6,32,30,18,14,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,0.7,1.6,3.3,5.9,13.3,3.4,2.6,5.8,4.6,16.3,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,1985,102,rs_RS_Session_266_AU_2511_1_clean.csv,2115,1541,2163,rs_RS_Session_267_AU_3467_1_clean.csv,india_tb_reports
Nagaland,3487,3648,4125,1896,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,6,35,29,17,13,6,34,30,17,13,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,1.8,0.8,2.8,3.3,5.1,1.5,1.4,2.3,3.9,5.0,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,3419,93,rs_RS_Session_266_AU_2511_1_clean.csv,4192,3278,4009,rs_RS_Session_267_AU_3467_1_clean.csv,india_tb_reports
Odisha,45628,52381,60372,25939,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,4,24,27,27,18,4,24,27,26,19,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,1.7,1.8,3.5,5.6,8.8,1.2,1.7,3.2,5.2,7.8,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,48917,2064,rs_RS_Session_266_AU_2511_1_clean.csv,60766,56259,59483,rs_RS_Session_267_AU_3467_1_clean.csv,india_tb_reports
Puducherry,2762,3444,3835,652,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,2,16,25,33,24,3,17,25,31,24,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,0.0,2.6,6.0,9.0,14.8,5.3,3.0,4.4,10.3,11.5,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,2843,90,rs_RS_Session_266_AU_2511_1_clean.csv,1507,1156,1355,rs_RS_Session_267_AU_3467_1_clean.csv,india_tb_reports
Punjab,46198,50142,55150,24800,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,5,33,24,19,19,5,34,24,19,18,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,2.1,1.8,3.3,6.2,12.1,1.4,1.5,3.4,5.9,10.1,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,49739,2049,rs_RS_Session_266_AU_2511_1_clean.csv,56264,46305,60456,rs_RS_Session_267_AU_3467_1_clean.csv,india_tb_reports
Rajasthan,137343,149225,169522,69222,rs_RS_Session_260_AU_618_A_to_B_i_clean.csv,5,28,26,21,20,5,28,26,21,20,rs_RS_Session_266_AU_1736_A_to_C_3 (1)_clean.csv,1.0,1.1,2.1,3.7,6.3,1.0,0.9,2.0,3.1,5.3,rs_RS_Session_266_AU_1736_A_to_C_4_clean.csv,145405,3341,rs_RS_Session_266_AU_2511_1_clean.csv,159302,141911,168059,rs_RS_Session_267_AU_3467_1_clean.csv,india_tb_reports
